文件名称,文件大小,文件类型,文件最后修改时间,文件所在目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录
ArchiveData.SQL,7075,.SQL,2020/8/15 22:14:46,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
HSF20200901.zip,795608,.zip,2020/9/1 9:43:52,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
MysqlTables.txt,8472,.txt,2020/9/2 20:34:12,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
MySQL_SYNC.sql,2570,.sql,2020/8/16 16:47:31,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
MYSQL第三轮性能测试.xlsx,9890,.xlsx,2020/10/30 18:01:58,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
RequestContainer.zip,76212,.zip,2020/9/1 11:41:12,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
SGPackage-Archive.sql,2228,.sql,2020/9/4 22:47:28,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
TeldMaster-Tables-最终稿20200815.xlsx,51890,.xlsx,2020/8/15 20:05:49,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
TeldMaster增量数据同步.xlsx,17372,.xlsx,2020/10/15 14:03:06,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
TeldMaster数据归档.sql,10755,.sql,2020/8/23 10:27:34,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
TeldMaster数据结构差异V1.1.txt,9207,.txt,2020/8/21 19:12:08,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
TeldMaster数据结构差异V1.2(CN-TeldMaster-VS-MySQL).txt,10402,.txt,2020/8/23 12:30:30,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
第一次同步MySQL.sql,18412,.sql,2020/8/21 19:37:27,C:\Users\zhougq\Desktop\MySQL迁移,,,,,,,,,,,,
HSF20200903.zip,1311896,.zip,2020/9/3 23:16:26,C:\Users\zhougq\Desktop\MySQL迁移\HSF,HSF,,,,,,,,,,,
Scs.dll,133632,.dll,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Scs.pdb,394752,.pdb,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Scs.xml,183367,.xml,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Cluster.dll,34304,.dll,2020/9/3 23:12:17,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Cluster.pdb,58880,.pdb,2020/9/3 23:12:17,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.DAC.dll,56320,.dll,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.DAC.pdb,101888,.pdb,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.EventNotify.dll,20992,.dll,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.EventNotify.pdb,44544,.pdb,2020/9/3 23:12:18,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Monitor.dll,33280,.dll,2020/9/3 23:12:22,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Monitor.pdb,54784,.pdb,2020/9/3 23:12:22,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Provider.dll,65024,.dll,2020/9/3 23:12:26,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
Teld.Core.HSF.Provider.pdb,171520,.pdb,2020/9/3 23:12:26,C:\Users\zhougq\Desktop\MySQL迁移\HSF\HSF20200903\HSFHost,HSF,HSF20200903,HSFHost,,,,,,,,,
